source,metric_path,metric,value
experiments\20260519_150804_phase45_hard\summary.json,selected[3].best_global_auc,best_global_auc,0.9490322027822002
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[10].oof_auc,oof_auc,0.9490297440559339
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[18].oof_auc,oof_auc,0.9490261676558359
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[19].oof_auc,oof_auc,0.9490257250304509
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[11].oof_auc,oof_auc,0.9490117081369807
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[12].oof_auc,oof_auc,0.9490046529225872
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[13].oof_auc,oof_auc,0.9490043846632993
experiments\20260519_150804_phase45_hard\summary.json,selected[4].best_global_auc,best_global_auc,0.9490042422618797
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[14].oof_auc,oof_auc,0.9489988334967965
experiments\20260519_150804_phase45_hard\summary.json,selected[5].best_global_auc,best_global_auc,0.9489950978263882
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[15].oof_auc,oof_auc,0.9489899110246778
experiments\20260519_152759_validation_reset\summary.json,phase3_oof_auc,phase3_oof_auc,0.9489829183244097
experiments\20260519_150804_phase45_hard\summary.json,baseline_auc,baseline_auc,0.9489829183244097
experiments\20260519_144202_phase3_specialist_ensemble_ensemble_summary.json,hill_recipe[1].auc,auc,0.9489829183244097
experiments\20260519_144202_phase3_specialist_ensemble_ensemble_summary.json,hill_auc,hill_auc,0.9489829183244097
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[16].oof_auc,oof_auc,0.9489745034806545
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[17].oof_auc,oof_auc,0.9489348409927478
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[18].oof_auc,oof_auc,0.9488717975386887
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[19].oof_auc,oof_auc,0.9488192091369774
experiments\20260519_143756_phase3_specialists\summary.json,oof_auc,oof_auc,0.9488073183581878
experiments\20260519_144202_phase3_specialist_ensemble_ensemble_summary.json,hill_recipe[0].auc,auc,0.9488073183581878
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[4].oof_auc,oof_auc,0.9483310298566601
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[5].oof_auc,oof_auc,0.9482946728580406
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[2].oof_auc,oof_auc,0.948232804549165
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[3].oof_auc,oof_auc,0.9481963536410876
experiments\20260519_152759_validation_reset\summary.json,best_by_raceyear_p10.global_auc,global_auc,0.9480381030120609
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,hill_recipe[3].auc,auc,0.9478931905191794
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,hill_auc,hill_auc,0.9478931905191794
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,hill_recipe[2].auc,auc,0.9478929542571033
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,hill_recipe[1].auc,auc,0.9478916809730389
experiments\20260519_170444_phase3_knn_cosine_phase3\summary.json,oof_auc,oof_auc,0.9478880363328275
experiments\20260519_141027_phase3_knn_euclid_phase3\summary.json,oof_auc,oof_auc,0.9478818058721881
experiments\20260519_141433_phase3_neighborhood_core_ensemble_summary.json,hill_recipe[0].auc,auc,0.9478818058721881
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,blend_report[2].oof_auc,oof_auc,0.9475787476399705
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,blend_report[3].oof_auc,oof_auc,0.9475787470543581
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,blend_report[4].oof_auc,oof_auc,0.9475787469242222
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[8].oof_auc,oof_auc,0.9474016097579397
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[9].oof_auc,oof_auc,0.9473476450531797
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[0].oof_auc,oof_auc,0.9473442395380384
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[1].oof_auc,oof_auc,0.9472899492490414
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[6].oof_auc,oof_auc,0.9472394978121075
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[10].oof_auc,oof_auc,0.9472376413231438
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,blend_report[7].oof_auc,oof_auc,0.9471845121734337
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.blend_report[3].oof_auc,oof_auc,0.9471471761935231
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.blend_report[4].oof_auc,oof_auc,0.9469850980342737
experiments\20260520_143243_catboost_diversity_smoke\summary.json,ensemble.blend_report[2].oof_auc,oof_auc,0.9469850979692055
experiments\20260519_152759_validation_reset\summary.json,phase2_oof_auc,phase2_oof_auc,0.9468220516624951
experiments\20260518_191305_phase2_cat_table_ensemble_summary.json,hill_auc,hill_auc,0.9468220516624951
experiments\20260518_191305_phase2_cat_table_ensemble_summary.json,hill_recipe[1].auc,auc,0.9468220516624951
experiments\20260519_144202_phase3_specialist_ensemble_ensemble_summary.json,logit_auc,logit_auc,0.9466658741990264
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[0].best_blend_auc,best_blend_auc,0.9466245437242864
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[1].best_blend_auc,best_blend_auc,0.9466245437242864
experiments\20260519_163902_synthetic_forensics\summary.json,additive[0].base_auc,base_auc,0.9466245316866979
